分组	标准名	编号	批准日期	文号	发布单位	官方链接	全文PDF	红头PDF	附件	备注
消防与人防	地质灾害危险性评估技术标准	DGJ08-2007-2016	2026-08-10	沪建标定〔2026〕343号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=b9bd3426b3d24417b01d85c1fef2be11&siteId=0011	https://zjw.sh.gov.cn/shsd/userfiles/2007地质灾害危险性评估技术规程20160620144631.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/b6/b6a72c673b364238ba3d3b2223d255ed/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9C%B0%E8%B4%A8%E7%81%BE%E5%AE%B3%E5%8D%B1%E9%99%A9%E6%80%A7%E8%AF%84%E4%BC%B0%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2016-06-01
结构与抗震	桥梁结构监测系统技术标准	DG/TJ08-2194-2016	2026-08-06	沪建标定〔2026〕283 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/7667667e741343a4b43684d9be964dac.html	https://zjw.sh.gov.cn/cmsres/67/674460c42d01429ca8c06b30cd1331f7/2b61c8f526e6c2510d9c5fecb2095e76.pdf		https://zjw.sh.gov.cn/cmsres/7f/7f8ca455380c4133818d05c229db8e25/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	现行标准栏目已收录/实施 2016-12-01
结构与抗震	道路隧道结构健康监测技术标准		2026-08-06	沪建标定〔2026〕280 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/d214cc9661e5415d8e3b34d7f62ab616.html			https://zjw.sh.gov.cn/cmsres/b7/b74c448f7e1e4104b70476a1f9a48fba/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
设备与智能化	建筑信息模型技术应用标准(港口航道工程)		2026-08-06	沪建标定〔2026〕244 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/3b3694d5399641e694d85d433716ec56.html			https://zjw.sh.gov.cn/cmsres/dc/dc1ea17e4e174d629b43e3c1c0e82e53/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
轨道交通与地下工程	城市轨道交通地下车站与周边连通工程设计标准		2026-08-06	沪建标定〔2026〕282 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/bfd5c3eb9cd043e1937edc481fe66692.html			https://zjw.sh.gov.cn/cmsres/21/21367945bec7405390c260a94ccd1de8/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
轨道交通与地下工程	城市轨道交通无障碍设施建设技术标准		2026-08-06	沪建标定〔2026〕281 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260806/1c78ad2705f94112bbae5a5baffce442.html			https://zjw.sh.gov.cn/cmsres/e4/e449a2a061d64fa1bac9f1dd15303bfb/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
设备与智能化	城镇排水泵站设计标准	DGJ08-22-2018	2026-08-05	沪建标定〔2026〕330号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=bb6f254d99284cf99de00071c33826c7&siteId=0011	https://zjw.sh.gov.cn/cmsres/67/6720573f7e764cd5b1171a810d9eff9a/99536544e0f15e5fbb8c6920c4988f21.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/cb/cb6acea04cd443b19f74818cf3aa02a1/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E9%95%87%E6%8E%92%E6%B0%B4%E6%B3%B5%E7%AB%99%E8%AE%BE%E8%AE%A1%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2019-8-1
装配式与外围护	装配式外挂墙板应用技术标准		2026-07-01	沪建标定〔2026〕294号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=8d4bff46a30d4de280e319f8332cc898&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/f1/f1c5ff57b34645b69d99b319f0ce1c9e/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E8%A3%85%E9%85%8D%E5%BC%8F%E5%A4%96%E6%8C%82%E5%A2%99%E6%9D%BF%E5%BA%94%E7%94%A8%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
轨道交通与地下工程	城市轨道交通工程车辆选型技术标准	DGJ08-106-2015	2026-06-08	沪建标定〔2026〕128 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260608/3e0a32a9878a446b88ad0b10c5af2637.html	https://zjw.sh.gov.cn/shsd/userfiles/106城市轨道交通工程车辆选型技术规范20151228161323.pdf		https://zjw.sh.gov.cn/cmsres/4c/4cab7fe8d38b47d687c7578d19b9e230/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	现行标准栏目已收录/实施 2015-12-01
改造与历史建筑	房屋修缮工程施工质量验收标准		2026-04-14	沪建标定〔2026〕148号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=4b8d3f626249441b9d040e08a0ca729d&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/1b/1bce437126bd460fb56356929441d0ba/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E6%88%BF%E5%B1%8B%E4%BF%AE%E7%BC%AE%E5%B7%A5%E7%A8%8B%E6%96%BD%E5%B7%A5%E8%B4%A8%E9%87%8F%E9%AA%8C%E6%94%B6%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
结构与抗震	城市轨道交通结构监护测量标准	DG/TJ08-2170-2015	2026-04-13	沪建标定〔2026〕139号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=219abd40fd70448bbb4fe12132235d07&siteId=0011	https://zjw.sh.gov.cn/shsd/userfiles/城市轨道交通结构监护测量规范20160217095330.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/20/200e0436d8b44ef6b46d6fe5d364d924/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E5%B8%82%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E7%BB%93%E6%9E%84%E7%9B%91%E6%8A%A4%E6%B5%8B%E9%87%8F%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2015-11-01
绿色建筑与节能	民用建筑可再生能源综合利用核算标准	DG/TJ08-2329-2020	2026-04-13	沪建标定〔2026〕138号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=ce853583a4a2456b9a8f12b261b282d5&siteId=0011	https://zjw.sh.gov.cn/cmsres/02/025d43da7b76476d8f166e1cc7af49be/418d6536fcef9ed31242b3e70262b325.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/da/da559b1e9cf64badb087e145a6aa31f5/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E6%B0%91%E7%94%A8%E5%BB%BA%E7%AD%91%E5%8F%AF%E5%86%8D%E7%94%9F%E8%83%BD%E6%BA%90%E7%BB%BC%E5%90%88%E5%88%A9%E7%94%A8%E6%A0%B8%E7%AE%97%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2021-03-01
设备与智能化	城镇排水管道设计标准		2026-04-13	沪建标定〔2026〕140号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=51337c9d8b0148f1ae994edafdf084ab&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/92/92e97c9c76ab404ba9e64bee2486d636/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E9%95%87%E6%8E%92%E6%B0%B4%E7%AE%A1%E9%81%93%E8%AE%BE%E8%AE%A1%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
勘察与测绘	工程物探技术标准	DG/TJ08-2271-2018	2026-04-02	沪建标定〔2026〕124号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=e8aa16c92814422bb798a21c4495b5d1&siteId=0011	https://zjw.sh.gov.cn/cmsres/f9/f9583025d17a4370b75c8be3fbdf5f3d/c3be844a9eb49a065906efd7e79d698c.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/8f/8f3779b2096645518dca6c9563939fed/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%B7%A5%E7%A8%8B%E7%89%A9%E6%8E%A2%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2018-12-01
轨道交通与地下工程	地下空间一体化设计标准		2026-04-02	沪建标定〔2026〕127号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=862d772bfc46428db93c8202b54ea601&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/39/396ec3adf52548afbcbed8de7a40e770/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9C%B0%E4%B8%8B%E7%A9%BA%E9%97%B4%E4%B8%80%E4%BD%93%E5%8C%96%E8%AE%BE%E8%AE%A1%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
轨道交通与地下工程	城市综合管廊维护技术标准	DG/TJ08-2168-2015	2026-04-02	沪建标定〔2026〕126号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=b8a37e4ab5ca4a20912cb2b068f98acd&siteId=0011	https://zjw.sh.gov.cn/shsd/userfiles/14城市综合管廊维护技术规程20151028141202.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/e2/e278606e71e441b78e5c7b89c764c24e/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E5%B8%82%E7%BB%BC%E5%90%88%E7%AE%A1%E5%BB%8A%E7%BB%B4%E6%8A%A4%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2015-10-01
轨道交通与地下工程	地下连续墙施工标准	DG/TJ08-2073-2016	2026-04-02	沪建标定〔2026〕125号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=84c8013b19f64b68ad0de6c4bd82da85&siteId=0011	https://zjw.sh.gov.cn/cmsres/8f/8f8db447e0874e6b81875a5d5a6a15ef/33b08f06f827ca6b92f7ed79571d0573.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/d1/d12cf6c7f4184455a581fd66e7227445/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9C%B0%E4%B8%8B%E8%BF%9E%E7%BB%AD%E5%A2%99%E6%96%BD%E5%B7%A5%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2017-04-01
装配式与外围护	上海市钢结构模块化建筑技术导则		2026-03-20	沪建建材〔2026〕99 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260320/a49ed43be8d04fdf84b47c09167ddbd0.html			https://zjw.sh.gov.cn/cmsres/0d/0d64a539ed114c45933bd889b13e2931/37d033ac302f59a84d8aaa83606a1abe.docx	新批准，现行标准栏目未收录
装配式与外围护	上海市混凝土模块化建筑技术导则		2026-03-20	沪建建材〔2026〕99 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260320/a49ed43be8d04fdf84b47c09167ddbd0.html			https://zjw.sh.gov.cn/cmsres/0d/0d64a539ed114c45933bd889b13e2931/37d033ac302f59a84d8aaa83606a1abe.docx	新批准，现行标准栏目未收录
装配式与外围护	上海市钢结构模块化建筑技术导则		2026-03-17	沪建建材〔2026〕99号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=d8e6dcd374d74cefaac83c3b669980d9&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/12/12df951be4ed4d0d922dd378bd141a5d/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E5%8F%91%E5%B8%83%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%92%A2%E7%BB%93%E6%9E%84%E6%A8%A1%E5%9D%97%E5%8C%96%E5%BB%BA%E7%AD%91%E6%8A%80%E6%9C%AF%E5%AF%BC%E5%88%99%E3%80%8B%EF%BC%88%E8%AF%95%E8%A1%8C%EF%BC%89%E3%80%81%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B7%B7%E5%87%9D%E5%9C%9F%E6%A8%A1%E5%9D%97%E5%8C%96%E5%BB%BA%E7%AD%91%E6%8A%80%E6%9C%AF%E5%AF%BC%E5%88%99%E3%80%8B%EF%BC%88%E8%AF%95%E8%A1%8C%EF%BC%89%E7%9A%84%E9%80%9A%E7%9F%A5.pdf	https://www.shanghai.gov.cn/cmsres/policy_resources/d8e6dcd374d74cefaac83c3b669980d9/3ab371c46e154d3ba03f2ae14b6df2a5/上海市《钢结构模块化建筑技术导则》（试行）.docx	新批准，现行标准栏目未收录
装配式与外围护	上海市混凝土模块化建筑技术导则		2026-03-17	沪建建材〔2026〕99号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=d8e6dcd374d74cefaac83c3b669980d9&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/12/12df951be4ed4d0d922dd378bd141a5d/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E5%8F%91%E5%B8%83%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%92%A2%E7%BB%93%E6%9E%84%E6%A8%A1%E5%9D%97%E5%8C%96%E5%BB%BA%E7%AD%91%E6%8A%80%E6%9C%AF%E5%AF%BC%E5%88%99%E3%80%8B%EF%BC%88%E8%AF%95%E8%A1%8C%EF%BC%89%E3%80%81%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B7%B7%E5%87%9D%E5%9C%9F%E6%A8%A1%E5%9D%97%E5%8C%96%E5%BB%BA%E7%AD%91%E6%8A%80%E6%9C%AF%E5%AF%BC%E5%88%99%E3%80%8B%EF%BC%88%E8%AF%95%E8%A1%8C%EF%BC%89%E7%9A%84%E9%80%9A%E7%9F%A5.pdf	https://www.shanghai.gov.cn/cmsres/policy_resources/d8e6dcd374d74cefaac83c3b669980d9/3ab371c46e154d3ba03f2ae14b6df2a5/上海市《钢结构模块化建筑技术导则》（试行）.docx	新批准，现行标准栏目未收录
勘察与测绘	岩土工程监测数字化技术标准		2026-03-02	沪建标定〔2026〕46 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/c20415682f7a4ae884d1204239e35a7a.html			https://zjw.sh.gov.cn/cmsres/23/23f98732f54e4d9cbe19543cbc47f589/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
市政与道路	桥梁改扩建技术标准		2026-03-02	沪建标定〔2026〕47 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/7f255f5093e142e397954f87828180ab.html			https://zjw.sh.gov.cn/cmsres/4a/4a99c3a925044e22ae6f30c965f30ca5/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
市政与道路	高速公路改扩建设计标准		2026-03-02	沪建标定〔2026〕33 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/d0962bb3554a4958aed07254eec30fa4.html			https://zjw.sh.gov.cn/cmsres/61/616706dc330b4650b5b7be404919a261/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
市政与道路	建设项目交通影响评价技术标准	DG/TJ08-2165-2015	2026-03-02	沪建标定〔2026〕25 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/2a32ed799c8c43018d1684afaffcf567.html	https://zjw.sh.gov.cn/shsd/userfiles/4建设项目交通影响评价技术标准20151028140117.pdf		https://zjw.sh.gov.cn/cmsres/f0/f0f22c4dcfeb4e7d8d5cdc946f737d0d/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	现行标准栏目已收录/实施 2015-09-01
市政与道路	上海市综合杆搭载无轨电车设施设置导则（试行）		2026-03-02	沪建设施联〔2025〕527 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/0c35997dfdaf4cba91e44b1982620955.html			https://zjw.sh.gov.cn/cmsres/f9/f91a4202af80476f92d5d9c4bd76cfc7/66ed7912afe02423bd58de5ce3012c66.pdf	新批准，现行标准栏目未收录
建筑与住区	建筑装饰装修工程施工标准	DGJ08-2135-2013	2026-03-02	沪建标定〔2025〕637 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/d0339b1539ea42bda4f488d94e2b73cc.html	https://zjw.sh.gov.cn/shsd/userfiles/347建筑装饰装修工程施工规程.pdf		https://zjw.sh.gov.cn/cmsres/b2/b240ff00eb11478588a392bcd8367314/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	现行标准栏目已收录/实施 2014-05-01
改造与历史建筑	既有建筑实景三维建模技术标准		2026-03-02	沪建标定〔2026〕27 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/ce72b898d7b8478998ca5d6e121da496.html			https://zjw.sh.gov.cn/cmsres/a8/a8eb87b54c7b4971a1ee618b12e089d9/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
消防与人防	人防防护设备安装质量技术标准		2026-03-02	沪建标定〔2026〕6 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/76bbfe9bf8dd4214b9182d3dbdd48a50.html			https://zjw.sh.gov.cn/cmsres/a6/a6d556daaa024c21a1c270b8106f612d/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
结构与抗震	基坑工程轴力主动调控式支撑技术标准		2026-03-02	沪建标定〔2026〕26 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/c92d7f53a9d747169fbb2b3efe560666.html			https://zjw.sh.gov.cn/cmsres/95/9572355d08b640e3a7eabfb6e313f1a6/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
绿色建筑与节能	上海市建筑光储直柔系统技术导则		2026-03-02	沪建建材〔2026〕5 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/c22e3004ee934a35813c9b5c62bd05d2.html			https://zjw.sh.gov.cn/cmsres/6e/6ed262ebc52049709a0bfd723d127b60/b296bb576728fafce711ec7d8cae333c.docx	新批准，现行标准栏目未收录
绿色建筑与节能	绿色建筑检测技术标准	DG/TJ08-2199-2016	2026-03-02	沪建标定〔2026〕528 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/c7f9c0d48d7a488194841655305861b3.html	https://zjw.sh.gov.cn/shsd/userfiles/2199绿色建筑检测技术标准20161206142208.pdf		https://zjw.sh.gov.cn/cmsres/d5/d5a091bbfaaa4c09a6680af0549e4b70/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	现行标准栏目已收录/实施 2016-10-01
装配式与外围护	预应力装配式混凝土框架结构技术标准		2026-03-02	沪建标定〔2026〕48 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/7561149ba4124b5d9774749ef48472f4.html			https://zjw.sh.gov.cn/cmsres/c5/c5debb925c564668aafc2d7d23fa3b81/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	新批准，现行标准栏目未收录
设备与智能化	燃气分布式供能系统工程技术标准	DG/TJ08-115-2016	2026-03-02	沪建标定〔2025〕628 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/8fc0f5dda0a84aba82eca687d7366037.html			https://zjw.sh.gov.cn/cmsres/42/423efbc2f6de44468fd833f26e95c028/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	现行标准栏目已收录/实施 2016-07-01
轨道交通与地下工程	综合管廊工程技术标准	DGJ08-2017-2014	2026-03-02	沪建标定〔2026〕49 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20260302/14fa3f8c083d45c59c79c71a83c7c9d9.html	https://zjw.sh.gov.cn/shsd/userfiles/373综合管廊工程技术规范.pdf		https://zjw.sh.gov.cn/cmsres/c0/c01995d1c1ef4926b37a403c0460d5b4/b80791aa8c389e36eb5f8dc5f0058ce6.pdf	现行标准栏目已收录/实施 2015-02-01
