分组	标准名	编号	批准日期	文号	发布单位	官方链接	全文PDF	红头PDF	附件	备注
改造与历史建筑	上海市既有住宅承重结构损坏修复技术导则		2024-05-24	沪建城管联〔2024〕180号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=6d57dd92dfb343009eae055cae58d607&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/b3/b380fcea4ba5474c958f390c59737a40/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E7%AD%89%E9%83%A8%E9%97%A8%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%97%A2%E6%9C%89%E4%BD%8F%E5%AE%85%E6%89%BF%E9%87%8D%E7%BB%93%E6%9E%84%E6%8D%9F%E5%9D%8F%E5%8F%8A%E4%BF%AE%E5%A4%8D%E6%A3%80%E6%B5%8B%E9%89%B4%E5%AE%9A%E6%8A%80%E6%9C%AF%E5%AF%BC%E5%88%99%E3%80%8B%EF%BC%88%E8%AF%95%E8%A1%8C%EF%BC%89%E3%80%81%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%97%A2%E6%9C%89%E4%BD%8F%E5%AE%85%E6%89%BF%E9%87%8D%E7%BB%93%E6%9E%84%E6%8D%9F%E5%9D%8F%E4%BF%AE%E5%A4%8D%E6%8A%80%E6%9C%AF%E5%AF%BC%E5%88%99%E3%80%8B%EF%BC%88%E8%AF%95%E8%A1%8C%EF%BC%89%E7%9A%84%E9%80%9A%E7%9F%A5.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/6b/6b1d17a1953343228e4964803cd59c90/29301feddaff710782274c375e1b0428.pdf&filename=1.%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%97%A2%E6%9C%89%E4%BD%8F%E5%AE%85%E6%89%BF%E9%87%8D%E7%BB%93%E6%9E%84%E6%8D%9F%E5%9D%8F%E5%8F%8A%E4%BF%AE%E5%A4%8D%E6%A3%80%E6%B5%8B%E9%89%B4%E5%AE%9A%E6%8A%80%E6%9C%AF%E5%AF%BC%E5%88%99%EF%BC%88%E6%B8%85%E7%A8%BF%EF%BC%89.pdf	新批准，现行标准栏目未收录
市政与道路	上海市保障性住房（大型居住社区）配套建设管理导则（基地内市政公建配套）（2024年修订版）		2024-05-22	沪建房管联〔2024〕243号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=939717ffe7414ae4a491d6c795c5c094&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/53/53fd083f7ddd4d4bbfd127059bf5253c/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BF%9D%E9%9A%9C%E6%80%A7%E4%BD%8F%E6%88%BF%EF%BC%88%E5%A4%A7%E5%9E%8B%E5%B1%85%E4%BD%8F%E7%A4%BE%E5%8C%BA%EF%BC%89%E9%85%8D%E5%A5%97%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%AF%BC%E5%88%99%EF%BC%88%E5%9F%BA%E5%9C%B0%E5%86%85%E5%B8%82%E6%94%BF%E5%85%AC%E5%BB%BA%E9%85%8D%E5%A5%97%EF%BC%89%EF%BC%882024%E5%B9%B4%E4%BF%AE%E8%AE%A2%E7%89%88%EF%BC%89%E3%80%8B%E7%9A%84%E9%80%9A%E7%9F%A5.pdf	https://www.shanghai.gov.cn/cmsres/policy_resources/939717ffe7414ae4a491d6c795c5c094/2a18f14955ca4a7493cc38f586312f6b/上海市保障性住房（大型居住社区）配套建设管理导则（基地内市政公建配套）（2024年修订版）.docx	新批准，现行标准栏目未收录
绿色建筑与节能	太阳能热水系统应用图集		2024-05-21	沪建标定〔2024〕245号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=900d3fb4d7404ac6b91eb162e0bf0140&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/6a/6ac18eba862c4ecd8495b772440314df/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%A4%AA%E9%98%B3%E8%83%BD%E7%83%AD%E6%B0%B4%E7%B3%BB%E7%BB%9F%E5%BA%94%E7%94%A8%E5%9B%BE%E9%9B%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BB%BA%E7%AD%91%E6%A0%87%E5%87%86%E8%AE%BE%E8%AE%A1%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
规划与不动产	国土空间生态修复基底调查技术标准		2024-04-30	沪建标定〔2024〕215号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=3e062e0cad274a8cbe0487f0c3ed6544&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/76/76542de8d4094067a2b9df6f28685eba/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9B%BD%E5%9C%9F%E7%A9%BA%E9%97%B4%E7%94%9F%E6%80%81%E4%BF%AE%E5%A4%8D%E5%9F%BA%E5%BA%95%E8%B0%83%E6%9F%A5%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
建筑与住区	电动自行车集中充电和停放场所设计标准		2024-04-11	沪建标定〔2024〕179号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=1fa9488d11564c1ba872e46f4326f9cb&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/a6/a6b60fbc4b1b492ead3b55f68659e9c5/fdc6f88e73d047771c2d5a52fb5cb053.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E7%94%B5%E5%8A%A8%E8%87%AA%E8%A1%8C%E8%BD%A6%E9%9B%86%E4%B8%AD%E5%85%85%E7%94%B5%E5%92%8C%E5%81%9C%E6%94%BE%E5%9C%BA%E6%89%80%E8%AE%BE%E8%AE%A1%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
设备与智能化	建筑信息模型技术应用统一标准		2024-03-29	沪建标定〔2024〕21 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20240329/e94650a94e484fc083181e38f531d4f6.html			https://zjw.sh.gov.cn/cmsres/43/433305412e7f43d19960b9b7836e4f84/914e4a52cc55219a5a078633254fe067.pdf	新批准，现行标准栏目未收录
消防与人防	民用建筑电气防火设计标准		2024-03-12	沪建标定〔2024〕128号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=d32801339a41403092bac20176adc3af&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/c5/c58aab90f3d94c3d9ee454520ad2f9ec/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E6%B0%91%E7%94%A8%E5%BB%BA%E7%AD%91%E7%94%B5%E6%B0%94%E9%98%B2%E7%81%AB%E8%AE%BE%E8%AE%A1%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
设备与智能化	多联式空调（热泵）工程施工技术标准	DG/TJ08-2091-2012	2024-03-10	沪建标定〔2024〕65 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20240310/796daf4fdbe2447d93b82d5b9a42e166.html	https://zjw.sh.gov.cn/shsd/userfiles/274多联式空调（热泵）工程施工技术规程.pdf		https://zjw.sh.gov.cn/cmsres/0a/0a915f626e0b434985be5ec8e7428cbf/40b0fad310a07dfff8437affcb94c623.pdf	现行标准栏目已收录/实施 2012-03-01
建筑与住区	建筑隔热涂料应用技术标准		2024-03-07	沪建标定〔2024〕114号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=9dabae95b52049939f83e3258102098c&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/28/28cca5abdb424e9c9c5c35e13ab29afe/7453ad9ba24f271ec43ddd3b80faa7a6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%BB%BA%E7%AD%91%E9%9A%94%E7%83%AD%E6%B6%82%E6%96%99%E5%BA%94%E7%94%A8%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
水务与海绵	城市供水管网泵站远程监控系统技术标准	DG/TJ08-2207-2016	2024-03-07	沪建标定〔2024〕111号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=ab922f6e67f74f078bd57712742230f6&siteId=0011	https://zjw.sh.gov.cn/shsd/userfiles/2207城市供水管网泵站远程监控系统技术规程20161010103248.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/d8/d8093569dd0e4cd49e8cd15781b55344/4247ded0a58a061324fac6e04e974086.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E5%B8%82%E4%BE%9B%E6%B0%B4%E7%AE%A1%E7%BD%91%E6%B3%B5%E7%AB%99%E8%BF%9C%E7%A8%8B%E7%9B%91%E6%8E%A7%E7%B3%BB%E7%BB%9F%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2016-08-01
