分组	编号	名称	批准日期	实施日期	官方链接
装配式与外围护	DG/TJ08-2198-2019	装配式建筑评价标准	2019-11-22	2020-04-01	https://zjw.sh.gov.cn/cmsres/0c/0c9a1892e8574f2ab134289b77a97b74/9bea1200559d4a1084a892d5de134576.pdf
装配式与外围护	DG/TJ08-2071-2016	装配整体式混凝土居住建筑设计规程	2016-08-02	2016-12-01	https://zjw.sh.gov.cn/cmsres/c7/c748dde00f604e60b924e9ca1015f1cc/8d59ee1f07557bfd53653a9d57b32fca.pdf
装配式与外围护	DG/TJ08-2154-2014	装配整体式混凝土公共建筑设计规程	2014-12-24	2015-03-01	https://zjw.sh.gov.cn/shsd/userfiles/375装配整体式混凝土公共建筑设计规程.pdf
装配式与外围护	DG/TJ08-2158-2023	预制混凝土夹心保温外墙应用技术标准	2023-01-12	2023-06-01	https://zjw.sh.gov.cn/cmsres/29/29e38d3f7bbf446e88d5275c8f2141da/289ddd9349c90bf3bfc07807fef1a96b.pdf
装配式与外围护	DG/TJ08-2433A-2023	外墙保温一体化系统应用技术标准（预制混凝土反打保温外墙）	2023-07-11	2023-10-01	https://zjw.sh.gov.cn/cmsres/3f/3f4174510125472b80b2b9a38d78c7dc/14d171af33d6c13792e1931753d2f180.pdf
装配式与外围护	DG/TJ08-2433B-2023	外墙保温一体化系统应用技术标准（现浇混凝土反打保温外墙）	2023-07-11	2023-10-01	https://zjw.sh.gov.cn/cmsres/29/2979c3dd6dea4e518260f7208af7782c/253268745570edcb956be53d40e71d7b.pdf
装配式与外围护	DG/TJ08-2365-2021	建筑浮筑楼板保温隔声系统应用技术标准	2021-05-31	2021-11-01	https://zjw.sh.gov.cn/cmsres/0c/0cb1488e48df44d382e7788141c428a8/5e8c8e12f84c3f1ec354d02273ffac77.pdf
结构与抗震	DGJ08-81-2021	现有建筑抗震鉴定与加固标准	2021-02-10	2021-08-01	https://zjw.sh.gov.cn/cmsres/70/70c1a5c3608141f7b12e22dda36f702a/0eb4335ec853a054ba763ada4704072e.pdf
结构与抗震	DG/TJ08-2326-2020	建筑消能减震及隔震技术标准	2020-08-23	2021-01-01	https://zjw.sh.gov.cn/cmsres/a5/a5fbac6a6968459c999bb10a0c41ec8c/72879c07b5b1f3b4a423ff2d04dc65fd.pdf
结构与抗震	DGJ08-69-2015	预应力混凝土结构设计规程	2016-01-08	2016-06-01	https://zjw.sh.gov.cn/cmsres/89/8925525b534e4e63a43c9ab106d0ad8b/b4ae1e5348525166d0d3bf33e4c61d4b.pdf
结构与抗震	DG/TJ08-19-2018	建筑索结构技术标准	2018-12-17	2019-5-1	https://zjw.sh.gov.cn/cmsres/ca/ca2703fe7c1841f1913a1860b8fd9106/c0e3c4c0a1e862ca46a1aac1c6d78214.pdf
结构与抗震	DG/TJ08-52-2020	空间格构结构技术标准	2020-09-30	2021-03-01	https://zjw.sh.gov.cn/cmsres/f0/f0ec9042c30e49ffbb7960f9b9390434/ad6c8918c81aad0f59bafb90f5e526bd.pdf
结构与抗震	DG/TJ08-2192-2016	工程木结构设计规范	2016-01-21	2016-05-01	https://zjw.sh.gov.cn/cmsres/fd/fd3d5b5394eb4c53b981f8b14efb69bd/d0f15238da028a5edbfdd78099c30a11.pdf
结构与抗震	DG/TJ08-2350-2021	大跨度建筑空间结构抗连续倒塌设计标准	2021-01-07	2021-07-01	https://zjw.sh.gov.cn/cmsres/37/37ae0e21afef46b68a1ea1212a93f5e2/24d3a2a3507a7e499531e79cfab7b0c6.pdf
绿色建筑与专项	DG/TJ08-2090-2020	绿色建筑评价标准	2020-03-30	2020-07-01	https://zjw.sh.gov.cn/cmsres/9c/9c07f1b2aedd46d9a2b865cfe33c265d/8d7281ca46c8641107273e40fd4f2d1b.pdf
绿色建筑与专项	DG/TJ08-2040-2021	公共建筑绿色及节能工程智能化技术标准	2021-02-10	2021-08-01	https://zjw.sh.gov.cn/cmsres/70/70ca03ac464c4de3bb12d5f4c1dddfac/5e3c2f581dbf5fd21c1461aa3ed87945.pdf
绿色建筑与专项	DG/TJ08-2263-2018	城市轨道交通上盖建筑设计标准	2018-03-30	2018-09-01	https://zjw.sh.gov.cn/cmsres/42/42232d71f65f4811adbea918cfcbffca/b2dfc8e9e9a21ec3bc13814b894a044e.pdf
绿色建筑与专项	DG/TJ08-60-2017	机械式停车库（场）设计规程	2017-02-22	2017-06-01	https://zjw.sh.gov.cn/cmsres/06/064a780a63994502902246e26b503c3d/8f0e7bbe4deec86f4be2170c443a8c68.pdf
